,entity,kingdom,item_id,entity_id,PLPE,PLSP,PLDI,PAOR,TASP,LOCA,PREV,YEAR,ANME,length,n_occurr,in_first_100,sentiment,n_tokens,vector_norm,token_i,any_digits,all_digits,any_like_num,any_title,any_oov,any_propn,any_verb,any_nsubj,any_dobj,any_compound,eppo_n_results,eppo_code,eppo_type,is_preferred,lang,active,taxonomy,n_categ,n_distrib,n_pests,n_hosts,cat_n_results,is_accepted,is_extinct
6862,18.50,animal,82,44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1,0,0.0,1,27.06072235107422,61,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6863,28.29,animal,82,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1,0,0.0,1,27.464370727539062,84,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6864,20.00,animal,82,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1,0,0.0,1,28.51457405090332,86,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6865,29.01,animal,82,47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1,0,0.0,1,28.321264266967773,96,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6866,11.40,animal,82,48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1,0,0.0,1,28.632577896118164,98,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6867,13.25,animal,82,49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1,0,0.0,1,26.912242889404297,116,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6868,30.48,animal,82,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1,0,0.0,1,25.892154693603516,118,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6869,26.46,animal,82,51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1,0,0.0,1,28.122390747070312,120,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6870,six,animal,82,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0.0,1,29.294475555419922,128,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6871,six,animal,82,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0.0,1,27.768627166748047,131,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6872,one,animal,82,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0.0,1,27.00628662109375,134,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6873,one,animal,82,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0.0,1,26.789142608642578,138,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6874,28.21,animal,82,56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1,0,0.0,1,28.208208084106445,150,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6875,11.83,animal,82,57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1,0,0.0,1,28.688434600830078,157,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6876,feline leishmaniosis,animal,83,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20,1,1,0.0,2,18.706161499023438,0,0,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,,0,,
6877,leishmania,animal,83,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,1,1,0.0,1,27.442787170410156,4,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,3,1.0,0.0
6878,northwest iran,animal,83,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14,1,1,0.0,2,20.045795440673828,7,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
6879,the role,animal,83,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,1,1,0.0,2,19.656259536743164,10,0,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,,0,,
6880,cats,animal,83,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,2,1,0.0,1,25.340194702148438,13,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6881,endemic areas,animal,83,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13,1,1,0.0,2,20.084503173828125,15,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6882,visceral leishmaniosis | visceral leishmaniosis,animal,83,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47,1,0,0.0,5,16.70563316345215,18,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
6883,leishmania infantum,animal,83,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19,1,1,0.0,2,21.405113220214844,25,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
6884,l. infantum,animal,83,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,5,0,0.0,2,19.977415084838867,28,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
6885,an important zoonotic disease,animal,83,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29,1,0,0.0,4,18.68431854248047,32,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6886,the mediterranean region,animal,83,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24,1,0,0.0,3,18.765562057495117,38,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,0,,
6887,domestic dogs,animal,83,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13,1,0,0.0,2,19.443111419677734,42,0,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,,0,,
6888,other wild canines,animal,83,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18,1,0,0.0,3,17.879276275634766,45,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6889,the main reservoir hosts,animal,83,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24,1,0,0.0,4,14.227067947387695,49,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
6890,the parasite,animal,83,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12,3,0,0.0,2,18.729202270507812,54,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6891,domestic cats,animal,83,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13,1,0,0.0,2,20.134628295898438,58,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,0,,
6892,felis catus,animal,83,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,1,0,0.0,2,20.173933029174805,61,0,0,0,1,1,1,0,0,0,1,1,FELIDO,2.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,2,1.0,0.0
6893,carriers,animal,83,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,1,0,0.0,1,26.756580352783203,66,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6894,l. infantum,animal,83,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,5,0,0.0,2,19.99181365966797,68,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
6895,a role,animal,83,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,1,0,0.0,2,21.31104278564453,73,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
6896,secondary reservoirs,animal,83,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20,1,0,0.0,2,19.62990379333496,76,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6897,the parasite,animal,83,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12,3,0,0.0,2,19.606891632080078,79,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6898,the present study,animal,83,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17,1,0,0.0,3,17.705036163330078,83,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6899,(dat,animal,83,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,1,0,0.0,2,17.706279754638672,88,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,0,,
6900,culture,animal,83,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,1,0,0.0,1,23.93682861328125,97,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6901,molecular methods,animal,83,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17,1,0,0.0,2,20.41376304626465,100,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6902,(nested pcr,animal,83,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,1,0,0.0,3,14.634121894836426,102,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,0,,
6903,infection,animal,83,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,1,0,0.0,1,26.861143112182617,110,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
6904,l. infantum,animal,83,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,5,0,0.0,2,20.04342269897461,112,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
6905,103 stray cats,animal,83,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14,1,0,0.0,3,19.065105438232422,115,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6906,villages,animal,83,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,1,0,0.0,1,26.441137313842773,120,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6907,meshkin shahr district,animal,83,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22,1,0,0.0,3,21.509532928466797,122,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
6908,ardabil province,animal,83,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16,1,0,0.0,2,21.980358123779297,128,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
6909,a well-known endemic region,animal,83,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27,1,0,0.0,6,14.338445663452148,132,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,0,,
6910,human,animal,83,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1,0,0.0,1,22.904165267944336,139,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,31,1.0,0.0
6911,visceral leishmaniosis,animal,83,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22,1,0,0.0,2,18.88697624206543,142,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
6912,iran,animal,83,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,2,1,0.0,1,25.14617156982422,145,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,9,1.0,0.0
6913,103 cats,animal,83,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,1,0,0.0,2,20.44059944152832,152,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6914,24.27%,animal,83,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,1,0,0.0,2,20.815073013305664,155,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6915,anti-leishmania antibodies,animal,83,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26,1,0,0.0,4,16.306720733642578,159,0,0,0,1,1,0,0,0,1,0,0,,,,,,,,,,,0,,
6916,different titers,animal,83,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16,1,0,0.0,2,20.42437744140625,164,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6917,amastigote forms,animal,83,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16,1,0,0.0,2,19.460451126098633,167,0,0,0,1,1,0,0,0,0,1,0,,,,,,,,,,,0,,
6918,the parasite,animal,83,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12,3,0,0.0,2,19.561649322509766,170,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6919,microscopic smears,animal,83,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18,1,0,0.0,2,19.02168846130371,175,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6920,the spleen,animal,83,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,1,0,0.0,2,20.461708068847656,178,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6921,a cat,animal,83,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1,0,0.0,2,20.560171127319336,181,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6922,high anti-leishmania antibodies,animal,83,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31,1,0,0.0,5,16.46775245666504,184,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6923,dat,animal,83,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0,0.0,1,24.607789993286133,190,0,0,0,0,1,1,0,0,1,0,0,,,,,,,,,,,7,0.0,
6924,l. infantum,animal,83,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,5,0,0.0,2,21.480865478515625,192,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
6925,microscopic slides,animal,83,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18,1,0,0.0,2,18.989608764648438,197,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6926,nested pcr,animal,83,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,1,0,0.0,2,18.53768539428711,200,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,0,,
6927,the results,animal,83,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,1,0,0.0,2,18.805543899536133,204,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6928,sequence analysis,animal,83,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17,1,0,0.0,2,22.62067985534668,209,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
6929,the high rate,animal,83,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13,1,0,0.0,3,18.54850959777832,214,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6930,seropositive cats,animal,83,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17,1,0,0.0,2,19.2904109954834,218,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6931,this study,animal,83,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,1,0,0.0,2,20.269655227661133,221,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6932,we,animal,83,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,1,0.0,1,27.24962615966797,224,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,0,,
6933,cats,animal,83,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,2,1,0.0,1,26.660228729248047,227,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,0,,
6934,an important role,animal,83,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17,1,0,0.0,3,18.40840721130371,230,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
6935,the maintenance,animal,83,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15,1,0,0.0,2,20.59702491760254,234,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6936,l. infantum,animal,83,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,5,0,0.0,2,19.287385940551758,237,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
6937,the endemic areas,animal,83,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17,1,0,0.0,3,15.797937393188477,240,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6938,zoonotic visceral leishmaniosis,animal,83,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31,1,0,0.0,3,19.905668258666992,244,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6939,iran,animal,83,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,2,1,0.0,1,25.119489669799805,248,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,9,1.0,0.0
6940,â,animal,83,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,0.0,1,22.708484649658203,250,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,0,,
6941,103,animal,83,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,2,0,0.0,1,27.94986915588379,115,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6942,25,animal,83,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,0,0.0,1,24.227397918701172,149,1,1,1,0,1,0,0,1,0,0,0,,,,,,,,,,,0,,
6943,103,animal,83,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,2,0,0.0,1,28.792720794677734,152,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6944,24.27,animal,83,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1,0,0.0,1,27.762439727783203,155,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6945,urbanization,animal,84,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12,1,1,0.0,1,26.975065231323242,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6946,human visceral leishmaniasis,animal,84,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28,2,1,0.0,3,20.899747848510742,2,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6947,morocco |,animal,84,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,1,1,0.0,2,21.876487731933594,6,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
6948,human visceral leishmaniasis,animal,84,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28,2,1,0.0,3,20.555299758911133,8,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,0,,
6949,the seven most neglected tropical diseases,animal,84,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42,1,0,0.0,6,12.623456954956055,13,0,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,0,,
6950,the world,animal,84,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,1,0,0.0,2,19.14803123474121,20,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,1,0.0,
6951,morocco,animal,84,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,1,1,0.0,1,26.533994674682617,24,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,7,0.0,
6952,hvl,animal,84,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,2,0,0.0,1,28.82990837097168,26,0,0,0,0,1,1,0,1,0,0,0,,,,,,,,,,,0,,
6953,all regions,animal,84,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,1,0,0.0,2,16.667715072631836,30,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6954,it,animal,84,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,0,0.0,1,26.170682907104492,34,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,0,,
6955,the northern part,animal,84,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17,1,0,0.0,3,18.617107391357422,39,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6956,sporadic cases,animal,84,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14,1,0,0.0,2,22.585588455200195,43,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6957,the south,animal,84,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,1,0,0.0,2,18.690629959106445,47,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,1,0.0,
6958,the period,animal,84,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,1,0,0.0,2,21.679412841796875,51,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6959,the most affected moroccan provinces,animal,84,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36,1,0,0.0,5,13.915299415588379,58,0,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,,0,,
6960,taounate province,animal,84,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17,1,0,0.0,2,20.849689483642578,64,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
6961,220 cases,animal,84,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,1,0,0.0,2,20.732587814331055,68,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6962,16.09%,animal,84,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,1,0,0.0,2,22.02237319946289,71,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6963,all cases,animal,84,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,1,0,0.0,2,17.91340446472168,74,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6964,chefchaouen,animal,84,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,1,0,0.0,1,25.966482162475586,80,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,0,,
6965,13.17%,animal,84,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,1,0,0.0,2,21.68806266784668,82,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6966,10.46%,animal,84,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,1,0,0.0,2,22.269636154174805,87,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6967,the total cases,animal,84,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15,1,0,0.0,3,16.047149658203125,90,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6968,children,animal,84,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,1,0,0.0,1,26.217557907104492,94,0,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,,1,0.0,
6969,the most affected age group,animal,84,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27,1,0,0.0,5,13.264779090881348,100,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
6970,most cases,animal,84,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,1,0,0.0,2,17.74716567993164,106,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,0,,
6971,geographic distribution,animal,84,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23,1,0,0.0,2,20.52239990234375,112,0,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,,0,,
6972,hvl,animal,84,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,2,0,0.0,1,27.219026565551758,115,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,0,,
6973,predominance,animal,84,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12,1,0,0.0,1,24.09907341003418,117,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
6974,rural areas,animal,84,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,1,0,0.0,2,19.349727630615234,119,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6975,we,animal,84,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,0,0.0,1,28.03807830810547,122,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,0,,
6976,it,animal,84,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,0,0.0,1,27.8925838470459,125,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,0,,
6977,one,animal,84,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,1,0.0,1,26.170427322387695,11,0,0,1,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
6978,seven,animal,84,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1,0,0.0,1,23.513246536254883,14,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6979,2004,animal,84,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,1,0,0.0,1,27.693769454956055,54,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6980,2013,animal,84,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,1,0,0.0,1,25.639667510986328,56,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6981,220,animal,84,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0,0.0,1,28.865163803100586,68,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6982,16.09,animal,84,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1,0,0.0,1,28.357906341552734,71,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6983,13.17,animal,84,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1,0,0.0,1,29.965879440307617,82,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6984,10.46,animal,84,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1,0,0.0,1,30.111286163330078,87,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6985,5,animal,84,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,0.0,1,27.38823127746582,96,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
6986,the follow,animal,85,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,1,0.0,2,19.257776260375977,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
